,updated_day,ticker,id,title_positive,title_negative,title_compound_sentiment,teaser_positive,teaser_negative,teaser_compound_sentiment,body_positive,body_negative,body_compound_sentiment,value,all_compound_sentiment
0,2011-02-03,VOD,831220,0.0,25.0,-45.88,0.0,11.1,-45.88,3.6,9.4,-76.92,-0.342583076396,-56.22666666666667
1,2011-04-19,BAM,1016308,18.5,0.0,36.12,22.3,3.0,90.22,14.4,1.7,99.37,3.63347896145,75.23666666666666
2,2011-06-08,ZAGG,1149353,39.8,0.0,64.86,6.3,0.0,42.15,6.3,0.0,42.15,17.0349907919,49.72
3,2013-04-10,MGI,3485935,39.0,0.0,49.39,17.2,0.0,78.45,12.1,0.0,97.09,2.69966254218,74.97666666666667
4,2014-05-21,ENT,4575512,17.7,0.0,42.15,9.7,0.0,42.15,15.1,1.0,99.43,7.35815602837,61.24333333333334
5,2014-07-09,TKR,4689774,27.8,0.0,40.19,16.1,0.0,61.24,14.6,0.4,99.36,-5.50767290309,66.93
6,2014-07-10,CLF,4694114,0.0,38.6,-52.67,15.3,0.0,82.53,13.7,7.6,99.33,18.873048201,43.06333333333333
7,2014-07-22,CSCO,4719110,22.4,0.0,38.18,20.8,0.0,85.91,26.1,0.3,99.95,-3.77725856698,74.67999999999999
8,2014-07-22,MYOS,4719101,19.4,0.0,55.74,18.3,0.0,86.38,13.3,1.0,99.45,7.69307692308,80.52333333333333
9,2014-07-22,SALT,4719109,12.0,0.0,38.18,6.7,0.0,38.18,9.9,0.0,97.23,-3.55029585799,57.86333333333334
10,2014-07-24,SEM,4727580,28.9,0.0,72.69,5.1,0.0,27.32,12.9,0.8,99.75,-10.2629890956,66.58666666666666
11,2014-07-28,NUAN,4733216,46.7,0.0,71.84,26.6,0.0,92.6,18.4,1.7,99.89,-6.93766937669,88.11000000000001
12,2014-07-30,MAGS,4741796,22.3,0.0,55.74,44.4,0.0,34.0,24.8,1.0,99.67,-0.493827160494,63.13666666666666
